Fecha y Hora;Temperatura (°C);Humedad (% HR);Radiación Solar (lux);Corriente Bomba (A);Puerto / Antena
2026-09-01 12:00:26;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:28;33,10;66,0;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:30;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:32;33,10;66,0;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:35;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:37;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:39;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:41;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:43;33,00;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:45;33,00;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:47;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:49;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:51;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:53;33,00;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:55;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:57;33,00;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:59;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:01;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:03;33,00;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:05;33,10;66,2;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:01:07;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:09;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:12;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:14;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:16;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:18;33,00;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:20;33,10;66,3;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:01:22;33,00;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:24;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:26;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:28;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:30;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:32;33,10;66,3;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:01:34;33,00;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:36;33,10;66,3;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:01:38;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:40;33,10;66,3;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:01:42;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:44;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:46;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:48;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:50;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:52;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:54;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:56;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:01:58;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:01;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:03;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:05;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:07;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:09;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:11;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:13;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:15;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:17;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:19;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:21;33,10;66,5;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:02:23;33,10;66,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:25;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:27;33,10;66,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:29;33,10;66,4;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:02:31;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:33;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:35;33,10;66,4;0,0;0,000;XBee_PRO_S2B (COM6)
