timestamp,temperatura_c,humedad_rh,radiacion_uv_lux,corriente_motor_a,puerto_antena
2026-09-01 11:52:29,33.4,65.4,0.0,0.0,COM6
2026-09-01 11:52:31,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:52:33,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:52:35,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:52:37,33.5,65.5,0.0,0.1,COM6
2026-09-01 11:52:39,33.5,65.5,0.0,0.1,COM6
2026-09-01 11:52:41,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:52:43,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:52:46,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:52:48,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:52:50,33.5,65.5,0.0,0.1,COM6
2026-09-01 11:52:52,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:52:54,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:52:56,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:52:58,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:53:00,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:53:02,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:53:04,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:53:06,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:53:08,33.5,65.4,0.0,0.1,COM6
2026-09-01 11:53:10,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:53:12,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:53:14,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:53:16,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:53:18,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:53:20,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:53:22,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:53:24,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:53:26,33.5,65.5,0.0,0.0,COM6
2026-09-01 11:53:28,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:53:30,33.5,65.4,0.0,0.0,COM6
2026-09-01 12:00:10,33.1,66.0,0.0,0.1,COM6
2026-09-01 12:00:12,33.1,65.9,0.0,0.0,COM6
2026-09-01 12:00:14,33.1,66.0,0.0,0.0,COM6
2026-09-01 12:00:16,33.1,66.0,0.0,0.0,COM6
2026-09-01 12:00:18,33.1,66.0,0.0,0.0,COM6
2026-09-01 12:00:20,33.1,66.0,0.0,0.0,COM6
2026-09-01 12:00:22,33.1,66.0,0.0,0.0,COM6
2026-09-01 12:00:24,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:00:26,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:00:28,33.1,66.0,0.0,0.0,COM6
2026-09-01 12:00:30,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:00:32,33.1,66.0,0.0,0.0,COM6
2026-09-01 12:00:35,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:00:37,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:00:39,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:00:41,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:00:43,33.0,66.1,0.0,0.0,COM6
2026-09-01 12:00:45,33.0,66.2,0.0,0.0,COM6
2026-09-01 12:00:47,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:00:49,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:00:51,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:00:53,33.0,66.1,0.0,0.0,COM6
2026-09-01 12:00:55,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:00:57,33.0,66.2,0.0,0.0,COM6
2026-09-01 12:00:59,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:01:01,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:01:03,33.0,66.2,0.0,0.0,COM6
2026-09-01 12:01:05,33.1,66.2,0.0,0.1,COM6
2026-09-01 12:01:07,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:01:09,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:01:12,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:01:14,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:01:16,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:01:18,33.0,66.2,0.0,0.0,COM6
2026-09-01 12:01:20,33.1,66.3,0.0,0.1,COM6
2026-09-01 12:01:22,33.0,66.2,0.0,0.0,COM6
2026-09-01 12:01:24,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:01:26,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:01:28,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:01:30,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:01:32,33.1,66.3,0.0,0.1,COM6
2026-09-01 12:01:34,33.0,66.2,0.0,0.0,COM6
2026-09-01 12:01:36,33.1,66.3,0.0,0.1,COM6
2026-09-01 12:01:38,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:01:40,33.1,66.3,0.0,0.1,COM6
2026-09-01 12:01:42,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:01:44,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:01:46,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:01:48,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:01:50,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:01:52,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:01:54,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:01:56,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:01:58,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:02:01,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:02:03,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:02:05,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:02:07,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:02:09,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:02:11,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:02:13,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:02:15,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:02:17,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:02:19,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:02:21,33.1,66.5,0.0,0.1,COM6
2026-09-01 12:02:23,33.1,66.5,0.0,0.0,COM6
2026-09-01 12:02:25,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:02:27,33.1,66.5,0.0,0.0,COM6
2026-09-01 12:02:29,33.1,66.4,0.0,0.1,COM6
2026-09-01 12:02:31,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:02:33,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:02:35,33.1,66.4,0.0,0.0,COM6
2026-09-01 12:02:37,33.1,66.4,0.0,0.1,COM6
2026-09-01 12:02:39,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:02:41,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:02:44,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:02:46,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:02:48,33.1,66.3,0.0,0.0,COM6
2026-09-01 12:02:50,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:02:52,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:02:54,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:02:56,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:02:58,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:03:00,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:03:02,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:03:04,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:03:06,33.1,66.2,0.0,0.0,COM6
2026-09-01 12:03:08,33.1,66.2,0.0,0.1,COM6
2026-09-01 12:03:10,33.1,66.2,0.0,0.1,COM6
2026-09-01 12:03:12,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:14,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:16,33.1,66.1,0.0,0.1,COM6
2026-09-01 12:03:18,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:20,33.1,66.1,0.0,0.0,COM6
